endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,49.0,28.0,63.0
2020-01-12,51.0,28.0,63.0
2020-01-19,44.0,28.0,63.0
2020-01-26,45.0,28.0,63.0
2020-02-02,37.0,28.0,63.0
2020-02-09,37.0,29.0,63.0
2020-02-16,34.0,29.0,64.0
2020-02-23,37.0,28.0,63.0
2020-03-01,48.0,28.0,63.0
2020-03-08,46.0,28.0,62.0
2020-03-15,43.0,27.0,61.0
2020-03-22,52.0,26.0,60.0
2020-03-29,33.0,25.0,58.0
2020-04-05,54.0,24.0,57.0
2020-04-12,44.0,23.0,56.0
2020-04-19,42.0,22.0,54.0
2020-04-26,42.0,22.0,54.0
2020-05-03,30.0,21.0,53.0
2020-05-10,38.0,21.0,52.0
2020-05-17,42.0,21.0,52.0
2020-05-24,36.0,21.0,52.0
2020-05-31,41.0,21.0,52.0
2020-06-07,35.0,21.0,53.0
2020-06-14,42.0,21.0,53.0
2020-06-21,36.0,22.0,53.0
2020-06-28,30.0,22.0,53.0
2020-07-05,25.0,22.0,54.0
2020-07-12,40.0,22.0,54.0
2020-07-19,31.0,22.0,54.0
2020-07-26,25.0,22.0,53.0
2020-08-02,38.0,22.0,53.0
2020-08-09,30.0,22.0,53.0
2020-08-16,38.0,22.0,53.0
2020-08-23,38.0,21.0,53.0
2020-08-30,37.0,22.0,53.0
2020-09-06,26.0,22.0,53.0
2020-09-13,32.0,22.0,53.0
2020-09-20,33.0,22.0,53.0
2020-09-27,45.0,22.0,53.0
2020-10-04,51.0,22.0,53.0
2020-10-11,42.0,22.0,54.0
2020-10-18,38.0,22.0,54.0
2020-10-25,38.0,22.0,54.0
2020-11-01,37.0,23.0,55.0
2020-11-08,50.0,23.0,55.0
2020-11-15,75.0,24.0,56.0
2020-11-22,50.0,24.0,57.0
2020-11-29,62.0,24.0,57.0
2020-12-06,82.0,25.0,58.0
2020-12-13,87.0,25.0,59.0
2020-12-20,87.0,26.0,60.0
2020-12-27,75.0,26.0,60.0
2021-01-03,77.0,27.0,61.0
2021-01-10,74.0,28.0,63.0
2021-01-17,61.0,28.0,63.0
2021-01-24,43.0,28.0,63.0
2021-01-31,44.0,28.0,63.0
2021-02-07,43.0,28.0,63.0
2021-02-14,43.0,29.0,63.0
2021-02-21,37.0,29.0,64.0
2021-02-28,34.0,28.0,63.0
2021-03-07,35.0,28.0,63.0
2021-03-14,27.0,28.0,62.0
2021-03-21,28.0,27.0,61.0
2021-03-28,38.0,26.0,60.0
2021-04-04,39.0,25.0,58.0
2021-04-11,35.0,24.0,57.0
2021-04-18,44.0,23.0,56.0
2021-04-25,39.0,22.0,54.0
2021-05-02,40.0,22.0,54.0
2021-05-09,40.0,21.0,53.0
2021-05-16,36.0,21.0,52.0
2021-05-23,34.0,21.0,52.0
2021-05-30,30.0,21.0,52.0
2021-06-06,42.0,21.0,52.0
2021-06-13,33.0,21.0,53.0
2021-06-20,35.0,21.0,53.0
2021-06-27,33.0,22.0,53.0
2021-07-04,42.0,22.0,53.0
2021-07-11,37.0,22.0,54.0
2021-07-18,34.0,22.0,54.0
2021-07-25,36.0,22.0,54.0
2021-08-01,32.0,22.0,53.0
2021-08-08,31.0,22.0,53.0
2021-08-15,49.0,22.0,53.0
2021-08-22,36.0,22.0,53.0
2021-08-29,32.0,21.0,53.0
2021-09-05,31.0,22.0,53.0
2021-09-12,35.0,22.0,53.0
2021-09-19,33.0,22.0,53.0
2021-09-26,39.0,22.0,53.0
2021-10-03,37.0,22.0,53.0
2021-10-10,38.6,22.0,53.0
2021-10-17,31.8,22.0,54.0
2021-10-24,39.1,22.0,54.0
2021-10-31,43.6,22.0,54.0
2021-11-07,37.9,23.0,55.0
2021-11-14,,23.0,55.0
2021-11-21,,24.0,56.0
2021-11-28,,24.0,57.0
2021-12-05,,24.0,57.0
2021-12-12,,25.0,58.0
2021-12-19,,25.0,59.0
2021-12-26,,26.0,60.0
2022-01-02,,17.0,45.0
