datum,ZG,Schweiz
2020-06-15,0.6,0.4
2020-06-22,1.1,0.7
2020-06-29,1.5,1.1
2020-07-06,1.8,1.5
2020-07-13,1.7,2.0
2020-07-20,1.5,2.6
2020-07-27,3.8,3.5
2020-08-03,1.9,3.3
2020-08-10,2.7,4.1
2020-08-17,3.2,3.6
2020-08-24,1.9,3.1
2020-08-31,2.8,3.1
2020-09-07,2.4,3.6
2020-09-14,1.2,3.8
2020-09-21,1.7,3.7
2020-09-28,4.6,5.3
2020-10-05,11.7,10.0
2020-10-12,13.7,15.4
2020-10-19,16.4,22.6
2020-10-26,16.9,26.5
2020-11-02,17.7,26.5
2020-11-09,17.9,24.0
2020-11-16,18.4,20.8
2020-11-23,15.1,17.6
2020-11-30,15.3,17.8
2020-12-07,13.5,15.3
2020-12-14,11.0,12.9
2020-12-21,10.7,12.6
2020-12-28,17.6,16.8
2021-01-04,16.2,14.5
2021-01-11,11.2,11.7
